utc_ms,lsl_ts,hr
1765774166303,838130.433816,84.000
1765774167583,838132.354971,84.000
1765774167585,838132.358026,84.000
1765774169004,838133.775802,84.000
1765774169982,838134.753964,84.000
1765774170922,838135.694228,84.000
1765774171901,838136.673320,85.000
1765774172842,838137.613800,85.000
1765774173810,838138.581624,84.000
1765774174781,838139.552581,84.000
1765774175743,838140.514817,85.000
1765774176699,838141.471520,85.000
1765774177662,838142.433956,85.000
1765774178621,838143.393100,85.000
1765774179579,838144.351346,85.000
1765774181018,838145.789884,85.000
1765774182942,838147.713154,85.000
1765774182945,838147.716852,85.000
1765774183886,838148.657367,85.000
1765774184860,838149.631283,85.000
1765774185813,838150.584568,85.000
1765774186782,838151.553679,85.000
1765774187742,838152.513949,85.000
1765774188700,838153.472229,84.000
1765774189659,838154.430722,84.000
1765774190622,838155.393603,84.000
1765774192542,838157.313401,84.000
1765774193022,838157.793808,83.000
1765774193980,838158.751859,83.000
1765774194942,838159.714177,83.000
1765774195901,838160.672335,83.000
1765774196845,838161.617144,83.000
1765774197821,838162.593062,84.000
1765774198782,838163.553515,84.000
1765774199739,838164.510956,84.000
1765774200702,838165.473413,85.000
