timestamp,hr
730942.823,79.000
730943.785,79.000
730945.227,79.000
730946.166,79.000
730947.142,79.000
730948.105,79.000
730949.062,79.000
730950.021,79.000
730950.986,79.000
730951.942,79.000
730952.905,79.000
730953.863,79.000
730954.821,78.000
730955.781,78.000
730957.224,78.000
730958.180,78.000
730959.132,78.000
730960.106,78.000
730961.049,78.000
730962.023,78.000
730962.983,78.000
730963.944,78.000
730964.902,78.000
730965.865,78.000
730966.810,78.000
730967.783,78.000
730969.226,78.000
730970.168,78.000
730971.145,78.000
730972.103,78.000
730973.065,78.000
730974.026,79.000
