utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765785079212,847816.386796,83.000,no_session,
1765785079531,847817.346856,83.000,no_session,
1765785080490,847818.305131,85.000,no_session,
1765785081929,847819.745010,86.000,no_session,
1765785082892,847820.707482,86.000,no_session,
1765785083850,847821.666169,86.000,no_session,
1765785084811,847822.626013,86.000,no_session,
1765785085771,847823.586137,86.000,no_session,
1765785086730,847824.546138,85.000,no_session,
1765785087689,847825.504647,86.000,no_session,
1765785088651,847826.466849,86.000,no_session,
1765785089611,847827.426335,86.000,no_session,
